,ID,Name,Age,OVA,Nationality,Club,BP,POT,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,PAC,SHO,PAS,DRI,DEF,PHY
10767,237226,J. Nyholm,26,65,Sweden,Djurgårdens IF,CB,68,43,42,61,62,32,60,40,21,62,61,70,78,75,51,71,56,78,53,70,47,64,71,45,50,30,57,60,64,65,74,45,53,62,64,65
5767,212803,Z. Clough,25,65,England,Nottingham Forest,CAM,68,64,64,55,65,61,65,65,70,57,67,72,67,80,62,91,65,63,51,45,63,34,41,64,64,68,66,34,36,30,69,64,64,68,38,45
13119,244636,D. Moreno,25,65,Colombia,Junior FC,RM,68,51,64,58,55,53,66,45,34,47,58,91,91,89,63,67,53,82,89,65,57,50,15,65,54,58,62,17,16,19,91,60,51,66,21,69
7454,223668,P. Bourdin,26,65,France,Beerschot AC,CB,68,48,22,64,62,23,30,24,23,57,60,62,67,42,63,58,39,75,59,70,22,56,60,23,32,43,54,64,70,64,65,27,49,43,65,65
7455,223670,M. Egho,26,65,Austria,Randers FC,ST,68,56,66,65,55,58,64,61,42,44,64,76,80,76,61,66,61,58,70,75,51,57,29,66,65,59,58,24,46,43,78,61,55,65,38,69
6695,219677,Ricardo Gomes,24,65,Cape Verde,CD Nacional,ST,68,60,60,60,63,46,69,54,38,58,66,74,76,66,59,62,72,65,62,75,63,76,33,58,61,64,68,19,23,17,75,62,60,67,27,71
15413,253552,O. Takeuchi,25,65,Peru,Club Atlético Grau,RM,68,66,64,36,65,56,64,70,55,39,66,70,73,72,66,70,68,69,68,65,59,56,22,59,56,49,65,37,29,27,72,62,59,66,31,64
4761,206554,J. Bolton,25,65,England,Portsmouth,RB,68,56,29,60,58,22,59,42,30,52,59,78,79,72,60,66,51,74,73,67,34,65,59,45,44,36,50,60,62,62,79,35,52,61,61,68
15404,253531,E. Chávez,26,65,Peru,Cusco FC,RB,68,52,52,53,62,26,62,26,36,42,60,75,74,72,60,78,30,56,73,54,52,56,62,49,58,26,69,59,67,63,74,45,53,63,62,59
4675,206101,D. Babunski,26,65,North Macedonia,FC Botoşani,CAM,68,52,57,59,70,56,65,63,63,65,72,70,74,80,54,75,66,64,68,71,65,45,49,56,61,62,54,55,57,53,72,61,63,69,55,65
6460,216535,J. Bandowski,26,65,Germany,SpVgg Unterhaching,LB,68,60,59,67,63,36,62,46,39,51,65,83,90,62,63,50,69,52,56,71,51,64,63,50,53,39,47,50,60,59,87,57,57,62,58,65
5708,212485,D. Bakker,25,65,Netherlands,ADO Den Haag,CDM,68,56,45,63,63,51,64,62,61,66,64,59,54,69,64,68,70,82,74,62,56,71,60,54,58,47,67,64,64,65,56,53,61,65,63,68
14398,250917,J. Gaari,26,65,Curacao,RKC Waalwijk,RB,68,58,30,56,62,32,64,35,35,39,59,71,75,62,59,67,58,76,72,74,50,59,63,55,44,40,56,62,61,62,73,41,51,62,61,71
5219,210020,P. Weihrauch,26,65,Germany,SG Dynamo Dresden,RM,68,60,54,56,68,62,74,60,48,56,72,78,77,79,68,74,65,64,75,59,59,51,59,63,60,55,67,55,54,38,77,58,62,74,54,62
12833,243894,B. Stillhart,26,65,Switzerland,FC St. Gallen,CM,68,53,57,60,68,42,65,49,45,66,69,63,61,64,64,74,48,71,77,67,39,67,58,65,66,49,67,64,62,60,62,51,62,67,61,70
14603,251443,L. Mickels,25,65,Germany,MSV Duisburg,RW,68,62,68,40,64,52,67,58,34,54,67,86,80,69,51,73,66,63,50,65,67,34,26,56,58,58,53,20,17,14,83,66,59,67,22,55
12902,244085,A. Yildirim,25,65,Germany,SC Verl,RM,68,61,62,55,60,54,72,43,31,54,67,84,76,74,58,77,71,60,74,58,58,45,17,58,52,65,55,16,18,10,80,63,55,70,20,60
7677,224488,F. Soyalp,25,65,Turkey,Gazişehir Gaziantep F.K.,CAM,68,61,54,50,71,60,71,64,50,67,68,65,66,70,57,67,66,62,64,61,61,49,53,61,66,51,62,51,53,46,66,58,66,69,51,59
14329,248879,K. Holzweiler,25,65,Germany,Viktoria Köln,CAM,68,51,61,31,61,60,68,64,46,47,67,90,82,94,63,95,64,62,73,31,60,41,23,55,57,49,65,25,20,27,86,60,56,71,24,45
7374,223214,K. Friesenbichler,26,65,Austria,SK Sturm Graz,ST,68,31,65,73,50,66,64,42,26,34,62,61,75,63,58,57,68,75,63,73,56,46,12,68,42,65,63,22,14,14,69,64,41,63,22,65
8465,228624,M. Khubrani,26,65,Saudi Arabia,Al Ahli,CB,68,23,24,64,51,21,34,21,21,42,52,53,51,51,62,63,31,79,64,74,16,69,67,25,29,33,50,64,66,59,52,24,37,44,65,71
11956,241191,M. Kolar,25,65,Croatia,FC Emmen,ST,68,37,65,60,62,46,65,42,30,42,67,73,74,60,65,59,66,62,71,74,57,42,14,66,49,69,64,24,17,16,74,63,49,65,23,66
15029,252443,A. Šimunec,24,65,Croatia,CD Aves,CB,68,30,27,65,49,31,36,33,28,39,30,54,53,42,55,39,49,71,61,86,28,61,57,28,31,43,48,63,69,66,53,33,38,36,64,74
7713,224690,Li Ang,26,65,China PR,China PR,CB,68,57,51,63,66,57,57,72,83,65,59,61,59,59,62,75,72,84,75,83,61,65,61,56,56,58,60,65,62,62,60,58,63,59,63,77
5530,211723,T. Knipping,27,65,Germany,SG Dynamo Dresden,CB,67,29,25,67,56,31,47,32,29,50,49,46,49,47,62,57,46,70,67,83,30,66,63,27,32,35,64,62,67,64,48,31,42,49,64,75
5419,211096,M. Fraser,26,65,Scotland,St. Mirren,RB,67,51,23,48,55,23,52,26,33,47,52,69,72,74,49,67,27,68,70,77,25,53,69,44,33,35,62,60,68,72,71,26,46,55,64,70
8292,227789,Kim Seung Joon,25,65,Korea Republic,Busan IPark,RM,67,65,58,58,67,50,68,48,27,59,69,84,81,82,70,77,66,56,81,67,55,57,45,65,71,58,60,45,14,17,82,59,63,70,34,68
5033,208752,R. Edwards,26,65,England,Dundee United,CB,67,33,30,65,52,32,40,33,41,48,49,53,50,69,58,70,49,80,68,74,24,60,65,34,39,45,52,67,67,68,51,34,44,48,67,70
8590,229118,J. Smeets,25,65,Netherlands,Fortuna Sittard,CDM,67,59,51,38,67,50,63,58,43,65,66,66,59,68,66,74,66,64,73,66,54,72,67,57,64,38,64,66,69,68,62,54,63,65,65,69
4686,206139,Y. Mbone,27,65,Cameroon,La Berrichonne de Châteauroux,CB,67,55,59,72,60,50,57,50,46,55,60,47,42,53,57,50,57,72,88,78,42,68,63,50,50,53,62,62,66,63,44,54,55,57,65,78
4909,208022,I. Ezekiel,26,65,Nigeria,KV Kortrijk,ST,67,65,62,62,64,68,67,62,47,47,65,75,72,82,62,74,69,87,58,62,66,48,23,65,64,63,67,23,34,25,73,65,61,68,30,59
10838,237452,S. Yajima,26,65,Japan,Gamba Osaka,CM,67,61,48,39,68,49,63,52,55,66,65,69,68,69,62,76,68,70,80,60,65,54,54,60,68,64,61,49,53,48,68,57,65,65,50,64
6424,216408,L. Spalvis,25,65,Lithuania,1. FC Kaiserslautern,ST,67,42,66,66,59,66,64,52,59,45,64,64,66,60,59,56,70,73,29,76,60,60,32,65,54,60,63,26,28,25,65,65,52,63,32,61
5114,209361,T. Payne,26,65,New Zealand,New Zealand,CB,67,66,55,58,60,53,61,68,63,63,61,64,75,62,60,65,66,65,73,78,58,83,60,59,61,47,55,61,62,58,70,58,62,61,61,77
12944,244202,R. Lamie,27,65,Scotland,Motherwell,CB,67,58,22,60,56,27,57,36,27,46,60,64,66,60,61,65,42,65,65,84,24,66,58,30,35,55,50,65,66,63,65,29,48,59,63,75
11105,238385,Lim Chan Wool,24,65,Korea Republic,Jeju United FC,RM,67,62,63,47,67,43,64,65,53,63,63,72,73,75,65,75,64,61,71,65,58,62,54,66,65,24,58,25,59,46,73,59,64,65,45,66
12710,243581,S. Guri,26,65,Albania,KV Oostende,ST,67,46,67,70,61,67,57,67,77,47,62,52,59,59,57,50,68,61,67,77,71,46,43,66,60,67,64,25,21,17,56,68,57,58,31,68
9571,232760,P. Diaw,25,65,Senegal,Angers SCO,CB,67,31,17,65,31,40,30,27,30,29,50,73,76,70,61,34,35,81,71,83,25,71,64,53,39,33,57,57,68,64,75,26,32,42,63,78
6091,214634,J. Hessenthaler,26,65,England,Crawley Town,CDM,67,57,41,50,67,51,61,63,61,64,64,70,70,73,63,69,66,81,80,64,61,70,61,54,62,48,60,62,62,58,70,52,63,64,60,70
5064,208945,A. Götz,23,65,Germany,Roda JC Kerkrade,RB,67,55,26,54,59,24,62,32,28,49,62,77,76,69,64,71,37,62,66,68,29,58,62,49,46,33,49,62,64,65,76,30,51,63,62,65
4665,206074,M. Fornasier,26,65,Italy,Parma,CB,67,28,13,64,48,17,41,23,22,40,50,45,67,50,59,59,29,77,46,75,15,60,65,21,18,30,62,64,71,68,57,18,34,46,67,65
6452,216508,F. Kath,25,65,Germany,SC Freiburg,LM,67,62,58,48,63,47,70,55,40,49,69,73,75,66,58,65,59,54,55,63,52,51,42,60,56,49,54,36,39,38,74,56,58,68,40,58
7141,222052,Lee Myung Jae,26,65,Korea Republic,Sangju Sangmu FC,LM,67,70,39,55,63,21,68,32,31,60,65,72,69,73,67,70,52,60,69,57,45,69,62,64,57,32,57,51,60,61,70,43,60,68,57,63
4531,205393,J. Baldwin,27,65,England,Bristol Rovers,CB,67,47,42,61,64,27,52,39,21,62,54,64,65,64,63,65,46,75,72,76,33,61,62,40,49,32,70,66,67,65,65,40,54,55,65,72
7045,221556,O. Mfulu,26,65,DR Congo,Elche CF,CDM,67,43,36,67,70,40,63,44,45,66,67,55,64,63,59,70,59,68,78,78,54,70,62,58,68,49,62,62,70,64,60,46,61,64,65,76
7046,221558,B. Angulo,24,65,Colombia,América de Cali,RM,67,62,51,39,68,59,64,42,60,67,64,82,81,84,60,82,62,81,70,39,61,41,28,60,61,53,59,51,29,32,81,56,64,67,37,49
7069,221662,S. Skrabb,25,65,Finland,Brescia,LM,67,67,67,54,61,65,64,64,59,62,64,74,72,82,65,80,69,77,76,62,63,55,56,67,63,49,62,60,51,52,73,66,63,67,55,65
8655,229362,A. Öztürk,26,65,Turkey,Sunderland,CB,67,31,31,64,61,38,50,40,47,58,54,48,52,46,56,52,72,76,64,83,62,56,62,21,43,41,61,60,67,66,50,46,49,51,64,73
9251,231424,A. Arslan,26,65,Germany,Holstein Kiel,CAM,67,59,63,50,66,58,67,67,60,64,67,73,66,74,61,74,64,56,75,61,65,39,45,66,58,59,61,43,42,41,69,63,62,68,44,60
3214,196953,A. Nsiala,28,65,DR Congo,Ipswich Town,CB,67,54,32,63,54,43,47,33,31,44,51,73,72,61,55,43,57,74,76,90,30,73,62,37,47,43,57,62,64,63,72,38,49,50,63,82
4487,205159,C. Raglan,27,65,England,Cheltenham Town,CB,67,26,29,63,54,30,39,25,27,55,49,68,67,41,60,58,45,84,68,78,27,85,63,30,37,36,57,61,63,64,67,32,42,44,63,77
4121,203137,R. Jansson,28,65,Sweden,Orlando City SC,CB,67,40,24,64,66,33,55,37,20,62,59,53,57,54,53,54,32,53,54,79,28,60,65,37,47,35,59,64,65,67,55,28,53,56,65,68
9918,234179,A. Alfageme,24,65,Peru,Peru,CDM,67,45,33,53,66,35,54,41,38,64,62,71,75,58,62,74,58,68,80,70,48,68,64,50,52,48,,65,66,68,73,43,56,58,64,72
12729,243616,A. van den Hurk,27,65,Curacao,Helsingborgs IF,ST,66,47,66,70,42,60,65,55,28,36,61,70,67,61,65,69,67,71,68,79,61,58,29,66,53,69,63,21,19,18,68,65,44,64,27,72
3160,195427,J. Stockley,26,65,England,Preston North End,ST,66,31,68,70,53,61,58,40,29,40,64,60,64,67,66,51,66,73,76,81,49,74,37,67,45,64,56,28,25,18,62,63,43,61,32,78
2924,193240,K. Conrad,28,65,Germany,SV Waldhof Mannheim,CB,66,51,19,60,60,28,49,44,33,57,58,67,68,68,65,70,35,84,68,74,24,61,62,39,47,37,65,63,65,64,68,26,53,55,63,70
7125,221934,S. Scougall,26,65,Scotland,Carlisle United,LM,66,63,63,42,67,55,70,46,41,65,68,76,76,73,56,87,63,70,80,60,51,68,59,65,66,44,68,55,39,37,76,59,63,70,48,67
6340,215990,O. Benítez,29,65,Argentina,Patronato,CB,66,27,20,65,45,32,22,55,62,35,43,49,52,35,60,54,60,70,61,82,31,64,62,24,28,37,58,67,67,65,51,32,38,33,66,73
4920,208096,T. Eisfeld,27,65,Germany,VfL Bochum 1848,CAM,66,63,62,42,67,51,61,64,62,65,67,70,60,74,60,75,64,64,67,59,62,45,32,63,67,55,60,48,30,28,65,62,66,65,37,58
3900,201901,C. Winchester,27,65,Northern Ireland,Forest Green Rovers,RM,66,64,59,52,66,42,65,61,54,62,66,73,72,78,58,78,63,81,90,71,67,64,60,58,64,56,63,57,58,57,72,60,64,67,57,75
9991,234489,F. Gytkjær,27,65,Denmark,Lyngby BK,CAM,66,53,67,55,63,48,66,47,55,57,67,72,69,75,67,70,62,52,69,64,59,42,31,70,55,61,61,30,29,34,70,63,57,67,33,60
4140,203264,S. Wootton,28,65,England,Plymouth Argyle,CB,66,45,16,67,60,32,52,23,18,53,57,47,53,59,54,55,45,75,69,76,18,63,64,35,35,37,50,65,65,64,50,25,47,54,65,72
6946,220943,K. Vassell,27,65,Northern Ireland,Rotherham United,ST,66,35,64,59,54,60,60,37,47,51,65,77,78,71,59,62,71,54,68,80,65,55,27,61,44,61,56,32,35,28,78,65,47,63,34,71
5695,212451,Luís Rocha,27,65,Portugal,Legia Warszawa,LM,66,65,56,51,66,46,66,73,68,65,64,71,73,70,62,70,72,65,65,65,56,67,62,68,60,47,62,60,66,58,72,59,65,66,61,65
4146,203287,E. Harrison,26,65,Wales,Portsmouth,ST,66,54,64,64,55,54,62,59,46,43,62,78,81,76,58,74,66,86,77,82,53,80,37,64,53,68,61,35,42,39,80,62,52,64,41,81
4004,202422,A. Woodyard,27,65,England,AFC Wimbledon,CDM,66,61,47,62,70,45,60,61,42,67,66,69,64,81,67,79,60,72,85,70,50,74,67,50,60,51,69,66,66,64,66,50,64,65,66,75
15546,254073,N. Dibble,26,65,Uruguay,Club Plaza Colonia,RW,66,57,60,62,58,56,66,70,49,46,65,81,80,85,62,79,67,74,64,68,61,63,25,62,68,48,55,36,27,19,80,61,58,68,32,66
3970,202164,P. Kitchen,28,65,United States,LA Galaxy,CB,66,46,52,67,66,50,54,54,51,62,59,63,44,60,60,67,67,75,75,70,58,80,60,47,51,59,62,60,65,63,53,56,57,57,63,74
4161,203355,R. Hall,26,65,England,Oxford United,RM,66,66,58,59,60,57,64,67,63,56,63,87,90,75,58,78,60,77,60,57,59,56,13,60,54,51,59,53,20,13,89,58,60,65,32,59
4116,203069,R. Tunnicliffe,27,65,England,Luton Town,CDM,66,63,52,57,69,49,63,60,47,66,66,65,64,60,63,68,65,59,73,69,59,71,64,60,62,55,61,65,65,64,64,56,64,64,64,70
4027,202526,S. May,27,65,Scotland,St. Johnstone FC,ST,66,59,63,64,62,60,65,59,51,54,66,67,71,72,66,67,65,83,79,66,64,60,29,67,65,62,65,23,24,22,69,64,60,66,29,69
4862,207824,T. Vion,25,65,France,Chamois Niortais Football Club,RM,66,66,56,66,64,53,63,47,55,57,65,64,68,56,71,63,68,72,74,71,62,78,61,62,63,65,65,60,61,59,66,60,62,63,61,73
4447,204882,R. Williams,26,65,Australia,Portsmouth,RM,66,60,55,30,61,56,65,50,41,55,64,79,78,85,64,81,58,72,77,63,52,42,50,58,63,55,57,39,38,34,78,55,59,67,40,63
15236,253042,Y. Lobo,27,65,Venezuela,Estudiantes de Mérida,CAM,66,40,57,49,72,27,65,58,36,65,70,68,68,70,57,63,52,67,78,62,62,55,59,59,60,71,50,46,62,55,68,56,60,67,55,65
4012,202459,J. Drost,27,65,Netherlands,PEC Zwolle,LM,66,60,62,59,66,63,64,60,56,62,68,67,73,72,66,75,62,43,78,65,60,60,41,60,67,62,70,40,52,51,70,62,64,67,47,66
4904,208009,W. Jobello,26,65,France,Coventry City,RW,66,61,65,62,61,64,70,58,42,53,65,73,79,65,58,62,70,62,63,58,62,41,29,58,57,64,52,23,17,19,76,65,58,67,26,56
4940,208188,J. Guthrie,27,65,England,Livingston FC,CB,66,45,28,68,54,19,50,48,38,51,56,55,54,45,56,44,37,65,81,79,18,63,63,35,51,40,53,65,66,65,54,28,50,51,65,76
4069,202771,J. Newell,27,65,England,Hibernian,LM,66,68,59,62,66,64,66,67,68,65,64,74,75,67,63,60,64,50,71,64,63,43,59,61,67,63,62,60,62,63,75,61,67,65,61,61
2908,193166,L. Madrigal,26,65,Mexico,Club Necaxa,ST,66,51,68,73,65,49,57,50,43,51,67,33,31,36,62,30,69,70,69,87,51,45,37,70,67,63,81,35,28,24,32,64,59,57,36,73
8192,226815,A. Dia,27,65,United States,Sporting Kansas City,LB,66,55,32,53,59,31,61,54,40,52,61,79,74,74,59,74,54,80,69,60,31,65,63,46,50,54,55,59,62,64,76,38,54,63,61,64
11570,240027,A. Vrenezi,26,65,Kosovo,SSV Jahn Regensburg,RW,66,57,63,36,59,59,72,56,41,38,71,81,79,78,61,81,54,67,73,46,62,36,18,63,46,61,50,21,17,18,80,61,52,72,20,52
7998,225883,S. Torrizales,26,65,Paraguay,Paraguay,CAM,66,59,48,48,67,55,68,55,42,65,67,69,68,78,68,79,65,52,67,38,63,49,50,65,67,68,62,57,45,35,68,57,63,69,49,48
5618,212158,O. Osawe,26,65,Nigeria,KFC Uerdingen 05,ST,66,43,62,61,60,62,62,43,32,33,61,85,88,73,63,67,65,83,71,76,60,46,16,59,52,60,59,32,24,16,87,62,49,63,28,69
13170,244786,T. Hájek,28,65,Czech Republic,Vitesse,CB,66,28,23,62,67,27,28,32,40,62,42,54,57,41,68,49,42,73,56,76,22,44,64,20,30,32,61,67,68,70,56,27,48,37,67,64
13409,245532,H. Silveira,27,65,Uruguay,Querétaro,ST,66,39,69,74,49,58,53,39,32,39,61,53,63,53,62,46,74,60,54,84,54,32,11,64,54,65,64,16,22,17,59,66,45,56,23,65
4506,205232,D. McGeouch,27,65,Scotland,Aberdeen,CM,66,59,39,52,70,42,64,43,45,67,67,62,65,69,63,74,69,64,72,69,56,62,58,61,65,52,71,63,60,61,64,50,64,66,60,68
6982,221239,J. Sánchez,27,65,Mexico,Atlético de San Luis,CM,66,58,51,58,68,60,55,57,54,66,67,69,69,68,58,76,69,59,86,30,66,65,65,58,64,57,56,65,62,59,69,59,64,61,63,52
4595,205639,Gálvez,27,65,Spain,C.D. Castellón,CDM,66,49,61,60,67,35,62,36,35,65,64,35,39,31,64,33,62,37,72,93,62,65,67,68,62,67,56,60,66,55,37,61,59,58,63,79
4581,205589,C. Thompson,26,65,England,Wycombe Wanderers,CDM,66,54,52,53,66,47,65,50,48,64,66,81,80,80,63,79,60,75,83,77,54,77,67,61,64,53,65,65,66,64,80,54,61,67,64,78
4489,205163,E. Huws,26,65,Wales,Ipswich Town,CAM,66,64,62,49,67,52,64,60,56,66,66,67,66,67,63,58,70,67,68,64,65,63,62,60,67,66,71,59,63,62,66,64,65,65,60,65
4285,204099,Amido Baldé,26,65,Guinea Bissau,Clube Sport Marítimo,ST,66,47,63,72,58,60,63,45,52,55,64,50,51,34,60,33,67,42,47,92,59,70,28,65,47,54,66,25,25,21,51,63,52,59,30,74
14496,251212,J. Bay,27,65,Argentina,Central Córdoba,LB,66,67,38,49,57,33,65,37,34,44,58,73,71,67,63,68,62,52,70,61,41,72,58,56,45,47,63,60,64,61,72,45,53,63,60,65
7280,222734,Kang Sang Woo,26,65,Korea Republic,Pohang Steelers,LW,66,64,61,49,65,45,63,46,47,49,61,80,81,80,66,74,79,41,66,61,42,33,64,69,57,55,54,67,65,63,81,60,59,65,64,56
4766,206563,J. Holt,27,65,Scotland,Livingston FC,CAM,66,53,57,42,70,59,63,57,43,64,69,79,69,92,62,92,61,86,83,57,57,72,61,61,62,48,68,58,61,57,74,58,62,69,58,68
5844,213294,N. Albarracín,27,65,Uruguay,Querétaro,CAM,66,56,71,46,61,59,66,67,48,59,69,63,69,64,67,65,68,54,34,54,73,41,39,66,62,53,56,50,44,36,66,69,60,67,44,46
5843,213280,C. Pain,26,65,Australia,Western United FC,LWB,66,62,62,47,56,45,64,67,41,44,60,88,87,92,54,89,64,83,82,61,65,61,59,58,51,58,53,52,58,53,87,62,54,66,55,67
7073,221680,N. Hagglund,27,65,United States,FC Cincinnati,CB,66,55,23,66,62,26,49,44,23,64,56,45,49,40,66,51,51,92,55,77,17,69,60,44,51,35,57,65,61,60,47,29,56,51,62,71
4470,205044,S. Maier,26,65,Germany,VfL Bochum 1848,CAM,66,66,54,47,67,62,67,69,69,55,65,77,58,82,64,77,69,71,61,51,69,54,38,61,64,59,56,41,24,20,67,61,65,68,34,55
3919,201958,E. Ebanks-Landell,27,65,England,Shrewsbury,CB,66,51,39,61,52,35,52,32,22,52,52,54,55,54,60,54,66,68,60,81,58,70,62,33,52,36,49,64,66,64,55,48,49,53,64,73
4831,207660,D. Wydra,26,65,Austria,Eintracht Braunschweig,CDM,66,54,49,54,70,48,54,50,60,66,63,66,68,70,66,62,65,73,70,77,61,75,62,50,54,57,56,59,66,67,67,55,62,59,62,75
11175,238668,M. Hofrath,27,65,Germany,SV Waldhof Mannheim,LB,66,69,39,45,62,42,60,72,61,64,58,68,72,70,58,67,67,66,72,73,52,53,59,47,45,44,61,57,65,61,70,48,61,61,59,68
16220,256271,A. Crețu,28,65,Romania,Romania,CDM,66,42,36,64,66,32,52,39,38,61,59,61,58,69,61,55,56,66,71,70,48,66,62,41,55,49,49,66,63,66,59,43,56,56,64,69
10148,235021,L. Canotto,26,65,Italy,Chievo Verona,RM,66,64,65,43,64,47,67,39,44,58,67,71,68,67,52,71,66,45,58,49,48,68,32,67,59,50,62,35,42,38,69,60,60,66,38,55
5542,211817,A. Berzel,28,65,Germany,Türkgücü München,CB,66,42,43,67,60,52,39,39,44,50,54,73,65,65,64,67,65,61,79,76,54,74,66,49,58,46,54,54,66,68,69,51,53,49,63,76
1847,183544,G. Burke,26,65,Republic of Ireland,Shamrock Rovers,CAM,66,59,65,45,62,64,66,71,60,57,69,63,57,75,59,75,70,47,63,57,71,58,26,63,69,68,64,30,19,14,60,67,62,68,26,58
11935,241131,L. Justiniano,27,65,Bolivia,Bolivia,CDM,66,50,31,60,66,31,44,39,34,65,64,51,51,66,56,82,53,63,82,52,28,67,64,38,41,48,65,66,69,64,51,36,55,55,66,63
11670,240335,B. Jacobsen,26,65,Denmark,AC Horsens,CDM,66,49,55,65,66,49,60,41,40,64,63,57,55,56,59,62,63,58,80,80,50,70,63,56,58,42,59,59,63,57,56,55,58,61,61,77
12702,243556,Andújar,28,65,Spain,FC Cartagena,CB,66,56,32,68,74,28,50,29,18,61,61,61,55,58,52,54,56,61,65,71,19,61,60,32,23,33,60,66,66,65,58,34,53,54,65,67
3946,202073,E. Zavaleta,27,65,United States,Toronto FC,CB,66,29,49,64,65,56,54,38,37,60,58,56,59,40,59,56,68,76,70,78,56,71,63,53,53,48,60,63,64,62,58,55,52,54,63,75
15494,253906,C. Fernández,28,65,Honduras,Centro Atlético Fénix,RW,65,68,59,39,57,42,71,49,47,47,69,75,72,69,63,73,65,53,70,50,44,35,25,65,60,53,61,37,33,20,73,56,57,70,32,52
2178,187345,Cho Dong Gun,34,65,Korea Republic,Sagan Tosu,ST,65,50,62,67,60,62,58,47,37,55,58,67,72,47,65,63,65,76,62,73,57,60,34,72,58,66,65,22,21,16,70,62,55,58,28,68
8295,227798,M. Calzada,30,65,Uruguay,River Plate Montevideo,RM,65,63,44,57,69,39,62,57,40,68,63,78,82,81,63,86,42,68,68,61,45,55,64,62,75,41,57,58,59,57,80,44,67,65,59,62
2207,187818,A. Borysiuk,28,65,Poland,Jagiellonia Białystok,CDM,65,58,48,50,63,57,59,56,57,60,63,68,65,72,66,74,69,85,70,68,63,72,65,57,65,45,67,53,64,62,66,56,61,63,59,70
4925,208115,L. Zuta,27,65,North Macedonia,Lecce,LB,65,64,45,53,59,46,63,60,43,54,60,76,79,69,66,69,67,68,58,62,43,74,62,44,63,43,60,60,55,65,78,49,59,63,59,64
3059,194122,W. Grigg,28,65,Northern Ireland,Sunderland,ST,65,31,66,65,59,68,63,39,50,40,62,66,71,70,62,73,67,72,71,69,66,50,22,66,54,72,63,26,37,20,69,67,48,64,32,66
864,163143,A. McCormack,36,65,Republic of Ireland,Southend United,CB,65,51,35,61,65,50,50,60,49,63,63,34,31,42,60,71,62,75,52,73,60,89,62,49,62,50,70,64,65,63,32,48,60,55,64,71
8984,230418,Henrique Jardinel,20,65,Brazil,Oceânico FC,CDM,65,54,45,41,64,43,68,57,48,74,56,42,74,58,69,71,41,56,71,52,43,74,55,62,67,59,59,64,74,45,60,45,63,64,61,61
1098,169465,M. Derbyshire,34,65,England,Macarthur FC,ST,65,57,66,63,63,64,61,58,30,45,63,75,69,67,67,60,67,64,73,56,65,59,27,68,59,67,62,28,22,23,72,66,56,62,29,61
4181,203447,A. Schalk,27,65,Netherlands,Servette FC,ST,65,42,66,57,49,64,68,65,57,33,66,77,84,75,64,86,67,70,75,58,61,62,26,65,56,65,61,24,29,32,81,65,48,69,30,64
3638,200210,A. Sarcevic,28,65,England,Bolton Wanderers,CM,65,56,62,55,66,59,66,64,62,64,66,62,63,80,64,75,66,67,72,70,63,67,56,62,65,65,65,60,60,57,63,63,63,68,58,70
4194,203528,L. Bangoura,28,65,Guinea,Rayo Vallecano,RW,65,60,60,46,59,58,70,51,45,54,63,86,84,90,55,76,71,72,52,61,57,63,34,63,62,50,59,34,17,21,85,61,58,69,29,60
6520,217193,J. Corrales,29,65,Cuba,Montreal Impact,LB,65,60,33,62,65,39,63,59,39,55,60,65,60,71,64,76,56,68,70,60,51,64,65,50,55,37,57,63,64,61,62,43,59,64,63,64
4302,204210,F. Gardoș,31,65,Romania,Academica Clinceni,CB,65,43,34,71,60,38,54,34,33,58,56,42,39,57,66,47,39,72,34,68,42,55,64,42,48,46,63,65,68,65,40,38,51,55,66,57
2390,189278,L. Murphy,30,65,England,Crewe Alexandra,CDM,65,63,59,42,68,47,64,68,61,64,65,61,63,56,65,64,70,49,77,69,70,77,65,56,61,62,66,57,66,66,62,63,65,64,61,72
8889,230214,Luis Paezinho,24,65,Brazil,Santos,CB,65,51,25,61,53,57,23,35,50,45,61,64,65,45,61,62,48,79,36,69,41,65,64,23,38,47,58,72,66,65,65,35,47,40,67,60
4400,204644,S. Kroon,27,65,Sweden,Östersunds FK,RM,65,56,59,41,62,49,64,61,57,52,62,81,90,82,63,69,64,63,61,58,53,45,44,63,63,58,60,57,33,15,86,58,59,65,41,56
1280,173530,S. Aluko,31,65,Nigeria,Reading,LW,65,62,56,48,65,64,70,72,71,55,70,77,74,90,60,83,67,49,31,57,64,40,31,62,64,68,60,43,41,35,75,61,63,72,40,47
7237,222519,A. Stølås,31,65,Norway,FK Haugesund,LW,65,68,64,53,64,55,68,70,73,61,66,66,70,75,61,64,84,79,72,72,68,60,59,57,67,59,58,57,64,61,68,68,66,68,60,70
4284,204095,R. Jackson,29,65,England,Gillingham,RB,65,60,50,51,60,50,59,52,49,53,61,81,82,75,60,78,57,89,88,74,52,49,53,56,50,41,58,60,61,57,82,52,56,62,58,73
892,163694,O. Arellano,33,65,Mexico,Querétaro,RM,65,64,60,58,71,57,68,58,56,63,63,70,72,70,62,68,58,75,60,69,64,65,40,56,57,66,66,62,60,60,71,60,64,66,56,66
